Order Number,Purchase Confirmation Date
201707240088517,20170727
201707018889790 ,20170701
201707079264675 ,20170707
201707209945714 ,20170722
201707220002354 ,20170802
201707149671962 ,20170714
201707039018928 ,20170703
201707079291011 ,20170707
201706218386960 ,20170703
201707230047939 ,20170729
201707290319042 ,20170729
201707149655300 ,20170718
201707069213970 ,20170706
201707280256531 ,20170728
201707089374321 ,20170708
201707049078927 ,20170709
201707189834277 ,20170718
201707219967054 ,20170728
201707079311956 ,20170707
201707099393585 ,20170710
201707028960914 ,20170702
201707290308500 ,20170809
201707300334644 ,20170730
201707310357863 ,20170731
201707049083667 ,20170704
201707149702464 ,20170715
201707119487446 ,20170711
201707129559553 ,20170712
201707069220750 ,20170709
201707049090318 ,20170704
201707280279621 ,20170803
201707139641401 ,20170720
201707250148954 ,20170725
201707039065481 ,20170703
201707219954766 ,20170721
201707039041128 ,20170703
201707079272280 ,20170710
201707149673613 ,20170726
201707310396963 ,20170809
201707018906755 ,20170726
201707119508928 ,20170711
201707159727753 ,20170717
201707109452587 ,20170710
201707099390260 ,20170718
201707099397924 ,20170709
201707079271930 ,20170718
201707310358167 ,20170731
201707028979666 ,20170702
201707109459648 ,20170710
201708080665846 ,20170816
201708120799765 ,20170815
201708100736231 ,20170810
201708130817233 ,20170822
201708291193006 ,20170906
201708150868480 ,20170815
201708150872268 ,20170815
201708070619338 ,20170815
201708311242670 ,20170831
201708251121122 ,20170825
201708221046603 ,20170822
201708010424813 ,20170803
201708050564818 ,20170805
201708090686639 ,20170814
201708311242781 ,20170831
201708251105315 ,20170825
201708110760749 ,20170811
201708010413399 ,20170809
201708140827108 ,20170816
201708110768221 ,20170816
201708080655115 ,20170811
201708090703004 ,20170809
201708040545852 ,20170804
201708261130573 ,20170826
201708060592003 ,20170806
201708221046695 ,20170822
201708080665536 ,20170816
201708231063030 ,20170823
201708261129031 ,20170826
201708040543152 ,20170810
201708140836517 ,20170824
201708060586340 ,20170808
201708301215689 ,20170830
201708291202103 ,20170829
201708030503600 ,20170810
201708160895926 ,20170816
201708140852448 ,20170814
201708221050976 ,20170824
201708251108237 ,20170825
201708010412744 ,20170809
201708140852278 ,20170814
201708311235472 ,20170906
201708100734742 ,20170810
201708140847796 ,20170814
201708150867235 ,20170815
201708200988689 ,20170820
201708231075619 ,20170823
201708020448566 ,20170802
201708090684838 ,20170809
201708070624477 ,20170807
201708271152072 ,20170831
201708210996281 ,20170821
201708090681040 ,20170809
201709241731825 ,20170924
201709021277460 ,20170909
201709241729094 ,20171011
201709201670584 ,20170927
201709101481639 ,20170915
201709051353191 ,20170905
201709031301986 ,20170913
201709271792340 ,20170928
201709111502273 ,20170911
201709201670331 ,20171012
201709231717443 ,20170925
201709171614020 ,20170922
201709021278419 ,20170909
201709041319894 ,20170908
201709221702752 ,20170925
201709141565084 ,20171002
201709141562872 ,20170927
201709111504343 ,20170913
201709121519250 ,20170913
201709051358501 ,20170905
201709141572401 ,20170920
201709211686712 ,20170921
201709101488578 ,20170915
201709191659275 ,20170927
201709111499764 ,20170911
201709111497161 ,20170918
