laptop_ID,Company,TypeName,Inches,Cpu,Ram,Memory,OpSys,Weight,Price_euros
1,Apple,Ultrabook,13.3,Intel Core i5 2.3GHz,8GB,128GB SSD,macOS,1.37kg,1339.69
2,Apple,Ultrabook,13.3,Intel Core i5 1.8GHz,8GB,128GB Flash Storage,macOS,1.34kg,898.94
3,HP,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,No OS,1.86kg,575.0
4,Apple,Ultrabook,15.4,Intel Core i7 2.7GHz,16GB,512GB SSD,macOS,1.83kg,2537.45
5,Apple,Ultrabook,13.3,Intel Core i5 3.1GHz,8GB,256GB SSD,macOS,1.37kg,1803.6
6,Acer,Notebook,15.6,AMD A9-Series 9420 3GHz,4GB,500GB HDD,Windows 10,2.1kg,400.0
7,Apple,Ultrabook,15.4,Intel Core i7 2.2GHz,16GB,256GB Flash Storage,Mac OS X,2.04kg,2139.97
8,Apple,Ultrabook,13.3,Intel Core i5 1.8GHz,8GB,256GB Flash Storage,macOS,1.34kg,1158.7
9,Asus,Ultrabook,14.0,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Windows 10,1.3kg,1495.0
10,Acer,Ultrabook,14.0,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.6kg,770.0
11,HP,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,No OS,1.86kg,393.9
12,HP,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,500GB HDD,No OS,1.86kg,344.99
13,Apple,Ultrabook,15.4,Intel Core i7 2.8GHz,16GB,256GB SSD,macOS,1.83kg,2439.97
14,Dell,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Windows 10,2.2kg,498.9
15,Apple,Ultrabook,12.0,Intel Core M m3 1.2GHz,8GB,256GB SSD,macOS,0.92kg,1262.4
16,Apple,Ultrabook,13.3,Intel Core i5 2.3GHz,8GB,256GB SSD,macOS,1.37kg,1518.55
17,Dell,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,2.2kg,745.0
18,Apple,Ultrabook,15.4,Intel Core i7 2.9GHz,16GB,512GB SSD,macOS,1.83kg,2858.0
19,Lenovo,Notebook,15.6,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,No OS,2.2kg,499.0
20,Dell,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Windows 10,1.22kg,979.0
21,Asus,Netbook,11.6,Intel Atom x5-Z8350 1.44GHz,2GB,32GB Flash Storage,Windows 10,0.98kg,191.9
22,Lenovo,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.5kg,999.0
23,HP,Notebook,15.6,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,No OS,1.86kg,258.0
24,Dell,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.62kg,819.0
25,HP,Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.91kg,659.0
26,Dell,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Windows 10,2.3kg,418.64
27,Apple,Ultrabook,13.3,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,Mac OS X,1.35kg,1099.0
28,Dell,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,2.2kg,800.0
29,Dell,Ultrabook,15.6,Intel Core i7 8650U 1.9GHz,8GB,256GB SSD +  256GB SSD,Windows 10,1.88kg,1298.0
30,HP,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Windows 10,2.5kg,896.0
31,Chuwi,Notebook,15.6,Intel Atom x5-Z8300 1.44GHz,4GB,64GB Flash Storage,Windows 10,1.89kg,244.99
32,Asus,Notebook,14.0,AMD E-Series E2-6110 1.5GHz,2GB,32GB Flash Storage,Windows 10,1.65kg,199.0
33,HP,Notebook,17.3,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,Windows 10,2.71kg,439.0
34,Dell,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Windows 10,1.2kg,1869.0
35,Apple,Ultrabook,13.3,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,Mac OS X,1.35kg,998.0
36,Lenovo,Notebook,14.0,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Windows 10,1.44kg,249.0
37,Acer,Notebook,15.6,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Linux,2.1kg,367.0
38,Dell,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.8kg,979.0
39,HP,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Windows 10,1.86kg,488.69
40,HP,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,2.1kg,879.0
41,Asus,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Linux,2kg,389.0
42,Dell,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,2.65kg,1499.0
43,Asus,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Linux,2.3kg,522.99
44,Acer,Notebook,15.6,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Windows 10,2.2kg,682.0
45,Dell,2 in 1 Convertible,17.3,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Windows 10,2.77kg,999.0
46,Apple,Ultrabook,13.3,Intel Core i5 2.0GHz,8GB,256GB SSD,macOS,1.37kg,1419.0
47,Lenovo,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,128GB SSD,No OS,2.2kg,369.0
48,Asus,Gaming,17.3,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,Windows 10,3.2kg,1299.0
49,Dell,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Windows 10,2.3kg,639.0
50,Asus,Notebook,17.3,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Windows 10,2.8kg,466.0
51,Lenovo,2 in 1 Convertible,10.1,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,Android,0.69kg,319.0
52,Acer,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,2.2kg,841.0
53,HP,Notebook,15.6,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,Windows 10,1.86kg,398.49
54,HP,Notebook,13.3,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Windows 10,1.49kg,1103.0
55,Acer,Notebook,15.6,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Windows 10,2.4kg,384.0
56,Dell,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,2.13kg,767.8
57,HP,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Windows 10,1.91kg,439.0
58,Asus,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Windows 10,2kg,586.19
59,MSI,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Windows 10,2.43kg,2449.0
60,Asus,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Linux,2kg,415.0
61,Dell,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,Windows 10,2.8kg,1299.0
62,Dell,Ultrabook,14.0,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.7kg,879.0
63,Lenovo,Notebook,14.0,Intel Core i3 7130U 2.7GHz,8GB,256GB SSD,No OS,1.7kg,599.0
64,Asus,Notebook,14.0,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.4kg,941.0
66,HP,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,1.86kg,690.0
67,Asus,Ultrabook,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Windows 10,1.8kg,1983.0
68,HP,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Windows 10,1.86kg,438.69
69,HP,Notebook,14.0,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB SSD,Windows 10,1.44kg,229.0
70,Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Windows 10,1.9kg,549.0
71,Asus,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Linux,3kg,949.0
72,Microsoft,Ultrabook,13.5,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Windows 10 S,1.252kg,1089.0
73,Dell,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.4kg,955.0
74,Dell,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,2.2kg,870.0
75,MSI,Gaming,17.3,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.7kg,1095.0
76,Acer,Notebook,14.0,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Windows 10,2.1kg,389.0
77,Asus,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Windows 10,2.2kg,949.0
78,Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,No OS,2.2kg,519.0
79,Dell,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.02kg,855.0
80,Acer,Notebook,15.6,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Windows 10,2.2kg,530.0
81,HP,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.5kg,977.0
82,Dell,Ultrabook,15.6,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.88kg,1096.16
83,Apple,Ultrabook,12.0,Intel Core i5 1.3GHz,8GB,512GB SSD,macOS,0.92kg,1510.0
84,HP,Notebook,14.0,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.63kg,860.0
85,Lenovo,Notebook,15.6,AMD A6-Series 9220 2.5GHz,4GB,128GB SSD,Windows 10,2.2kg,399.0
86,Acer,Notebook,15.6,AMD A9-Series 9420 3GHz,4GB,1TB HDD,Windows 10,2.1kg,395.0
87,Dell,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Windows 10,2.65kg,1349.0
88,HP,Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.83kg,699.0
89,HP,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,1.96kg,598.99
90,Asus,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Windows 10,2.2kg,1449.0
91,Dell,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.21kg,1649.0
92,Asus,Gaming,15.6,AMD FX 9830P 3GHz,8GB,1TB HDD,Windows 10,2.45kg,699.0
93,Acer,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Windows 10,2.2kg,689.0
94,HP,Notebook,13.3,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Windows 10,1.49kg,1197.0
95,Dell,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Windows 10,2.65kg,1195.0
