Month;Meta Category;Transaction Fee Rate
201707;Home/ Food;7,0%
201707;Gadget/ Komputer;3,0%
201707;Fashion;9,0%
201707;Babies/ Kids;3,4%
201707;Beauty/ Health;8,2%
201707;Sports/ Hobi/ Otomotif;4,9%
201707;Elektronik;2,2%
201707;Service/ Mokado;1,0%
201708;Home/ Food;6,9%
201708;Gadget/ Komputer;3,1%
201708;Fashion;9,1%
201708;Babies/ Kids;4,0%
201708;Beauty/ Health;8,7%
201708;Sports/ Hobi/ Otomotif;5,2%
201708;Elektronik;1,9%
201708;Service/ Mokado;0,5%
201709;Home/ Food;6,8%
201709;Gadget/ Komputer;3,3%
201709;Fashion;8,8%
201709;Babies/ Kids;4,1%
201709;Beauty/ Health;9,0%
201709;Sports/ Hobi/ Otomotif;5,2%
201709;Elektronik;2,5%
201709;Service/ Mokado;0,7%
201710;Home/ Food;6,3%
201710;Gadget/ Komputer;3,2%
201710;Fashion;8,9%
201710;Babies/ Kids;3,8%
201710;Beauty/ Health;8,8%
201710;Sports/ Hobi/ Otomotif;4,8%
201710;Elektronik;2,3%
201710;Service/ Mokado;0,9%
201711;Home/ Food ;6,4%
201711;Gadget/ Komputer ;3,0%
201711;Fashion ;8,7%
201711;Babies/ Kids ;3,9%
201711;Beauty/ Health ;8,6%
201711;Sports/ Hobi/ Otomotif ;5,2%
201711;Elektronik ;1,8%
201711;Service/ Mokado ;0,8%
201712;Home/ Food ;6,7%
201712;Gadget/ Komputer ;3,2%
201712;Fashion ;9,2%
201712;Babies/ Kids ;4,0%
201712;Beauty/ Health ;9,0%
201712;Sports/ Hobi/ Otomotif ;5,1%
201712;Elektronik ;1,9%
201712;Service/ Mokado ;0,9%
